Outer_Fold,Outer_Validation_Event,Feature_Event,Depth_cm,Feature_Type,Input_SAX_Word,Reference_Library_Events,Reference_Library_Word_Count,Reference_Library_SAX_Words,SAX_Word_Length,SAX_Alphabet_Size,Feature_Value,Computed_Hamming_Similarity,Feature_Calculation_Method,Reconstructed_Feature_Value,Absolute_Reconstruction_Error,Feature_Value_Reproducible,Feature_Event_In_Reference_Library,Outer_Validation_In_Reference_Library,Feature_Source,Status
LOEO_Fold_Val_3,3,4,85,Training,eeddcbaa,"[10, 14]",4,"['edcdddba', 'eedbbbaa', 'edddbaba', 'eeecbbaa']",8,5,0.5625,0.5625,Mean_Normalized_Hamming_Similarity,0.5625,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
LOEO_Fold_Val_3,3,4,105,Training,eeddcbaa,"[10, 14]",4,"['edcdddba', 'eedbbbaa', 'edddbaba', 'eeecbbaa']",8,5,0.5625,0.5625,Mean_Normalized_Hamming_Similarity,0.5625,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
LOEO_Fold_Val_3,3,10,85,Training,edcdddba,"[4, 14]",5,"['eeddcbaa', 'eeddcbaa', 'eedbbbaa', 'edddbaba', 'eeecbbaa']",8,5,0.375,0.375,Mean_Normalized_Hamming_Similarity,0.375,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
LOEO_Fold_Val_3,3,14,45,Training,eedbbbaa,"[4, 10]",3,"['eeddcbaa', 'eeddcbaa', 'edcdddba']",8,5,0.5833333333333334,0.5833333333333334,Mean_Normalized_Hamming_Similarity,0.5833333333333334,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
LOEO_Fold_Val_3,3,14,50,Training,edddbaba,"[4, 10]",3,"['eeddcbaa', 'eeddcbaa', 'edcdddba']",8,5,0.5416666666666666,0.5416666666666666,Mean_Normalized_Hamming_Similarity,0.5416666666666666,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
LOEO_Fold_Val_3,3,14,65,Training,eeecbbaa,"[4, 10]",3,"['eeddcbaa', 'eeddcbaa', 'edcdddba']",8,5,0.5,0.5,Mean_Normalized_Hamming_Similarity,0.5,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
LOEO_Fold_Val_3,3,3,125,Validation,eedcbbaa,"[4, 10, 14]",6,"['eeddcbaa', 'eeddcbaa', 'edcdddba', 'eedbbbaa', 'edddbaba', 'eeecbbaa']",8,5,0.6666666666666666,0.6666666666666666,Mean_Normalized_Hamming_Similarity,0.6666666666666666,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
LOEO_Fold_Val_4,4,3,125,Training,eedcbbaa,"[10, 14]",4,"['edcdddba', 'eedbbbaa', 'edddbaba', 'eeecbbaa']",8,5,0.625,0.625,Mean_Normalized_Hamming_Similarity,0.625,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
LOEO_Fold_Val_4,4,10,85,Training,edcdddba,"[3, 14]",4,"['eedcbbaa', 'eedbbbaa', 'edddbaba', 'eeecbbaa']",8,5,0.34375,0.34375,Mean_Normalized_Hamming_Similarity,0.34375,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
LOEO_Fold_Val_4,4,14,45,Training,eedbbbaa,"[3, 10]",2,"['eedcbbaa', 'edcdddba']",8,5,0.5625,0.5625,Mean_Normalized_Hamming_Similarity,0.5625,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
